COUNTRY,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT,FREQUENCY,SCALE,BOP_ACCOUNTING_ENTRY
Netherlands,"Other investment, Total financial assets/liabilities",2014-Q1,68324.0796507913,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2014-Q2,10358.4533467745,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2014-Q3,-25497.1291136366,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2014-Q4,8134.9787109375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2015-Q1,68288.1767142883,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2015-Q2,-1376.06235483867,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2015-Q3,21424.83045,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2015-Q4,-59177.4796615402,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2016-Q1,48655.3615741914,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2016-Q2,68353.7470661547,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2016-Q3,-7951.51359848493,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2016-Q4,-68548.6325390625,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2017-Q1,71290.2835938446,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2017-Q2,-6057.3100258065,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2017-Q3,-27891.0596538463,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2017-Q4,-25966.0645428568,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2018-Q1,53390.9225000006,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2018-Q2,-7029.79380952395,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2018-Q3,-159.317510769226,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2018-Q4,-69189.0015125,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2019-Q1,22838.0918857137,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2019-Q2,15377.8345,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2019-Q3,38708.9396727264,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2019-Q4,-62118.62458125,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2020-Q1,107631.836770312,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2020-Q2,-26113.3985225805,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2020-Q3,1120.98527121212,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2020-Q4,-101954.645710773,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2021-Q1,57365.2048380944,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2021-Q2,14489.4268444439,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2021-Q3,46389.256774243,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2021-Q4,-48315.1067833351,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2022-Q1,164251.608084375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2022-Q2,65468.6688619059,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2022-Q3,63784.9126303027,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2022-Q4,-42074.96754375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2023-Q1,115631.435163082,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2023-Q2,-14527.3330064521,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2023-Q3,53297.5661461557,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2023-Q4,-120090.099706352,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2024-Q1,66967.0176126983,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2024-Q2,-48408.1402984145,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2024-Q3,80463.6896545488,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Other investment, Total financial assets/liabilities",2024-Q4,-97059.51835,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",1999-Q1,-3317.7350571429,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",1999-Q2,-207.154812307691,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
