COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD_FULL,EURO_PERIOD_CRISIS_EXCLUDED,IS_CRISIS_YEAR,EURO_PERIOD
"Latvia, Republic of",2005,1,% of GDP (annualized),16332000000,1.0277123873179526,1.3488725083548128,-2.5692809682948807,1.9911927504285336,0.41750815734791824,2.4087009077764514,6.615898493359321,9.795383691624238,0.41750815734791824,0.03211601210368601,0.44962416945160427,-5.588186106041369,1.9590767383248473,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2005,2,% of GDP (annualized),16332000000,0.7711062755515554,-2.8376710940297234,-4.842547410463769,-0.3084425102206221,0.18506550613237333,-0.12337700408824886,3.3928676124268446,5.737030690103573,2.4675400817649766,-0.12337700408824886,2.3441630776767286,-2.6217613368752875,-2.4675400817649766,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2005,3,% of GDP (annualized),16332000000,2.420122904281587,-2.9579279941219396,-5.915855988243879,7.6786615604983695,0.6274392714804115,8.30610083197878,6.304270775350801,17.687811843638265,0.35853672656023505,0.3884147871069214,0.7469515136671564,-3.884147871069214,7.559149318311624,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2005,4,% of GDP (annualized),16332000000,1.3097601717487135,13.796140475753116,9.372061673401905,-4.598713491917705,0.5530098502939013,-4.0457036416238035,3.5217995729243174,27.44675204353417,-0.2328462527553269,0.0,-0.203740471160911,-2.212039401175605,-3.841963170462892,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2006,1,% of GDP (annualized),20453000000,-0.07054035330532445,0.7524304352567941,-5.2199861445940074,3.903232882894619,0.5172959242390458,4.420528807133664,7.594844705873265,11.239429626648361,0.21162105991597338,0.4232421198319466,0.6348631797479201,-7.66538505917859,3.7856656273857454,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2006,2,% of GDP (annualized),20453000000,1.2795905640469218,16.01948956143358,8.58802128562261,1.7471332701409892,0.19686008677644967,1.9686008677644962,8.932526437481398,23.500172858938658,4.65081955009362,-0.04921502169411237,4.601604528399507,-7.652935873434474,-2.633003660635013,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2006,3,% of GDP (annualized),20453000000,2.367539386736528,8.049633914904193,2.442303788422944,0.8473298857793887,0.34890054120327774,1.1962304269826665,7.152461094667192,31.326284306608578,0.24921467228805555,-0.1744502706016388,0.07476440168641664,-4.784921707930664,1.1214660252962498,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2006,4,% of GDP (annualized),20453000000,0.5796695637462499,13.332399966163747,7.510501304190539,-3.0999720148169017,0.37804536766059765,-2.721926647156304,9.677961412111301,33.973677040432385,0.15121814706423908,0.2520302451070652,0.40324839217130415,-9.09829184836505,-3.125175039327608,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2007,1,% of GDP (annualized),29463000000,1.7259184188643368,20.301782638393902,8.665178041102397,2.686738981943453,0.2668946008553099,2.9536335827987634,7.152775302922307,29.216062306961256,0.9964065098598238,-0.1779297339035399,0.8184767759562837,-5.426856884057968,2.135156806842479,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2007,2,% of GDP (annualized),29463000000,4.191341879864571,9.755393982392208,1.4093158286007508,3.001659686889911,0.9700485573485687,3.953405441269638,14.989995631480719,16.765367519458287,-0.7504149217224777,-0.34775325640797744,-1.0798653751616143,-10.798653751616142,5.033270816431252,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2007,3,% of GDP (annualized),29463000000,2.7977379712232984,22.885496604606576,18.259903158850722,1.6226880233095122,0.6155023536691256,2.2381903769786393,8.952761507914555,36.463851558276986,-0.14921269179857585,0.018651586474821995,-0.1305611053237539,-6.155023536691257,2.3687514823023927,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2007,4,% of GDP (annualized),29463000000,1.730678987204289,28.6938709355802,23.855836494077305,-1.337342853748769,0.47200336014662436,-0.8653394936021446,5.742707548450595,32.135562103316005,-0.6293378135288326,0.33433571343719226,-0.2950021000916402,-4.012028561246307,-0.5703373935105044,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2011,1,% of GDP (annualized),26832000000,0.22432736564549777,-10.767713550983892,-7.810671003838696,6.4647068099657075,1.42753778138044,7.8718511944692855,5.852904903659804,-15.152293879509527,-2.447207625223612,0.020393396876863434,-2.426814228346749,-5.628577538014308,10.298665422816033,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2011,2,% of GDP (annualized),26832000000,0.6650405344009973,4.633830820342434,4.569472058948787,0.1287175227872898,0.7937580571882871,0.9224755799755768,5.81374144589259,-1.2871752278728978,5.341777195672527,0.47196425022006255,5.81374144589259,-5.148700911491591,-4.891265865917012,Pre-Euro,Pre-Euro,False,Pre-Euro
"Latvia, Republic of",2011,3,% of GDP (annualized),26832000000,1.2004184962324242,-3.1800560163350173,-4.928033826638374,3.938215066587077,1.1372385753780863,5.075453641965163,7.307810845485108,-2.316597097992397,-0.33695957788980335,-0.0210599736181127,-0.35801955150791603,-6.1073923492526845,5.433473193473078,Pre-Euro,Pre-Euro,False,Pre-Euro
