COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Other investment, Debt instruments","Liabilities - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Total financial assets/liabilities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Debt securities","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Total financial assets/liabilities"
Belgium,2008,4,US dollar,-183227000000,-180629000000,-190233000000,9084640120,16173901575,-18167962289,7089261455,-3927495656,-27981429623,100777000000,6360434241,96849670570,-11807528048
Belgium,2009,1,US dollar,-41936467898,-47297738105,-41032282838,-2139296641,9565600451,-8950650381,11706199952,4794525968,-30179456394,-15139236889,-11663205562,-10344710921,-20613855943
Belgium,2009,2,US dollar,-49425133047,-18137225782,-33284978724,-1759876624,1390452484,-850629754.8,3150329108,-15830710485,-9928103373,22428543840,-7687021134,6597833355,-8537650889
Belgium,2009,3,US dollar,-5837072850,-32891283327,-13025783495,127297104.5,30691474936,3355494464,30562747527,-14642027632,-19307681059,10017853036,8026869109,-4624174595,11383793877
Belgium,2009,4,US dollar,-26347291232,-9884483298,-29993376803,526147735.4,-20012827205,3283989517,-20540452883,-18336839755,19121627529,60047349272,-4175189192,41710509517,-891199675.4
Belgium,2010,1,US dollar,-23519115276,-43442669917,-17929401397,-800703695.2,10439572013,598799136.5,11240275708,-27459019987,-2003833600,23754209625,7838322184,-3704810362,8435738413
Belgium,2010,2,US dollar,31355775833,42009750487,32815868495,1392742870,-8045123275,-4488291803,-9437866144,9841964897,-2344535214,26815383248,-5901366686,36657348144,-10389658489
Belgium,2010,3,US dollar,-26475344852,-10867969618,-23715102627,-2126341882,-8059958936,5078948976,-5933617055,-18525124264,5388798430,23889392945,-7750109482,5364268682,-2671160506
Belgium,2010,4,US dollar,-3612997394,3674119530,-4910144955,-2330790800,-19370284148,5461602452,-17039493348,-22522828115,26316475379,51032909055,1484588779,28510080939,6946191230
Belgium,2011,1,US dollar,-23980848266,-33882353100,-15344733314,-1346101237,9210670358,-4652530802,10556771595,-9688098541,-20343365348,41867305258,-6480164189,32179206717,-11132694991
Belgium,2011,2,US dollar,16360694795,3743000014,17203985071,-795801233.3,-7429876614,2597506738,-6635514443,-18343722100,12840749376,18566776695,2813366024,223054595.2,5410872762
Belgium,2011,3,US dollar,68090873358,74168321794,81099042861,-2069609939,-12515136145,-3054263952,-10445526206,-2551341673,1962244509,42838806691,-7500040388,40287465018,-10552891636
Belgium,2011,4,US dollar,-44692676045,-63359225848,-51543998167,-686210735.9,-17877879311,-3607661944,-17191668575,-3935263533,28671205739,60351492741,14400988372,56416229208,10793326428
Belgium,2012,1,US dollar,-20008403446,-43002861862,-19974322046,2151060669,11042373600,8068116038,8891312931,-6331275462,-27558744369,27461743462,-24584486808,21130468000,-16516370769
Belgium,2012,2,US dollar,5331992647,9066053347,12670690529,-2567967619,-128142096.8,-838049312.9,2439825523,8576550537,-8366397498,-515131229,-7656490282,8061419308,-8494539595
Belgium,2012,3,US dollar,5886151649,-542606163.1,-4582146515,1764095152,9626883538,3073101265,7862788386,7895294746,-20293970597,8656693717,-13740188323,16551988463,-10667087058
Belgium,2012,4,US dollar,-32798571713,-39612697369,-34454449631,2339235525,1137200419,3364920281,-1203331800,19543768200,-6950278500,-23793033619,-9177998362,-4249265419,-5813078081
Belgium,2013,1,US dollar,6008862097,25099875387,12905186903,-2737663984,22712178097,4038483581,25451162710,3515514484,-20984795323,-5748698177,-2311100806,-2233183694,1727382774
Belgium,2013,2,US dollar,-10170320375,-36122532705,-12027781917,2305499032,13480311619,2369504387,11174812587,-7565694273,-24346853514,634828628.6,-13237352514,-6930865644,-10866541895
