COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",CS1_GROUP,CS2_GROUP,CS3_GROUP
"Netherlands, The",2020,2,"US dollar, Nominal (Current Prices), % of GDP",931814000000,-8.009295666731772,-11.84467975454329,-11.209704307082744,0.4420715142721616,25.31722284876596,7.292525168756855,24.329245626351252,18.867700724736487,-19.259188292942586,-10.07896971028945,-1.2344906129334825,5.0240127364474025,6.058034555823372,-1.763558018674214,1.3129760369593275,5.084531617378683,Eurozone,NA,NA
"Netherlands, The",2020,3,"US dollar, Nominal (Current Prices), % of GDP",931814000000,1.997078477893657,-5.57726816124248,0.4827109285758746,7.557286169986714,13.642855963958471,10.234776310293684,6.085569793971758,7.841794586473267,-3.298691938090649,9.800737897477394,0.1093877156170652,17.64253248352139,10.344164025867824,13.119500975971793,-4.088302257258212,6.877878064623472,Eurozone,NA,NA
"Netherlands, The",2020,4,"US dollar, Nominal (Current Prices), % of GDP",931814000000,-18.38761725279938,-13.581786019527502,-34.5866294726486,-2.5359005140462583,-10.44819897210291,5.4152014161624535,-10.707461049513702,-41.328176324295704,31.958514752434038,-10.07896971028945,-6.74455015142507,-12.898990075008571,-1.3293487352626168,-28.907841307149013,-3.0586286579808677,6.95757367754664,Eurozone,NA,NA
"Netherlands, The",2021,1,"US dollar, Nominal (Current Prices), % of GDP",1055173000000,28.067547553244825,29.162808554047537,21.75403928948144,10.807823630816936,25.31432265154624,-4.744726055800527,14.506499021108388,18.867700724736487,-32.71803368503353,12.333789854365111,0.9755952868392196,35.42653222703765,-10.071104116683264,25.290115465154884,0.04567393665484617,7.760458577024913,Eurozone,NA,NA
"Netherlands, The",2021,2,"US dollar, Nominal (Current Prices), % of GDP",1055173000000,-10.659517102882656,-5.448837594593494,5.500491843517604,8.010065534277318,8.331876076813945,-3.1591373001394087,0.3218105424987182,7.721167433586721,0.14353481584536376,4.528660574521903,11.634548192571266,12.249828008108624,8.475410892431858,5.9160114218235,-2.4263783516488293,11.35433531963174,Eurozone,NA,NA
"Netherlands, The",2021,3,"US dollar, Nominal (Current Prices), % of GDP",1055173000000,20.463714600354635,20.09013584767616,17.59350368024959,24.165987288150852,22.912085397939485,-4.744726055800527,-1.253901890211368,18.867700724736487,-23.081893921849783,-10.07896971028945,6.153771536989669,7.449231829093428,-0.16980852398611412,-8.000215803187803,3.685291835384561,4.828641524610341,Eurozone,NA,NA
"Netherlands, The",2021,4,"US dollar, Nominal (Current Prices), % of GDP",1055173000000,-9.840728761255264,-28.633525256995775,-18.322889884786665,4.681292889791531,-4.251701144741194,-3.169702158413833,-8.932994034532726,6.837054491727897,6.469018778911136,-10.07896971028945,5.387019792583776,-12.898990075008571,2.217317634169942,-6.855261205623608,3.1267863333858026,9.577164905516776,Eurozone,NA,NA
"Netherlands, The",2022,1,"US dollar, Nominal (Current Prices), % of GDP",1047364000000,11.987463333091457,34.233004676502155,62.72967182374036,0.2317556253222375,22.623375838008563,-4.744726055800527,22.391620212648135,15.43124054521637,-32.71803368503353,8.6426427740499,-5.459322900156965,24.073883319266272,-10.071104116683264,42.16116480357701,-0.04026807537780561,10.675752196705252,Eurozone,NA,NA
"Netherlands, The",2022,2,"US dollar, Nominal (Current Prices), % of GDP",1047364000000,10.952248323600964,3.271931328554352,25.002808654870705,-0.09717802750524172,-2.8864720391382557,-4.744726055800527,-2.7892940116330136,18.867700724736487,-27.90310518329826,30.478119611138055,-8.74886869550605,68.66304360279712,-10.071104116683264,19.088773465031192,5.757620964479603,17.229150459642923,Eurozone,NA,NA
"Netherlands, The",2022,3,"US dollar, Nominal (Current Prices), % of GDP",1047364000000,11.591309087194135,25.341591308083917,24.360169961923457,-0.6699200568283806,-2.7077537998250847,-4.744726055800527,-2.037833743378615,4.333713616278581,-10.000729664567428,-10.07896971028945,-1.680184114787218,-12.898990075008571,-10.071104116683264,5.9527511815231495,5.757620964479603,6.967630073443792,Eurozone,NA,NA
