Indicator,Original_Mean,Winsorized_Mean,Original_SD,Winsorized_SD,Original_Min,Winsorized_Min,Original_Max,Winsorized_Max,N_Observations,N_Lower_Winsorized,N_Upper_Winsorized,Pct_Data_Affected,Dataset
eurozone_pgdp_weighted,1.2435718329855816,1.2541684926995058,2.27166363632304,1.867955916256481,-4.936184677932482,-2.018013165976463,10.118901662800644,4.90780245870603,105,6,6,11.43,net_direct_investment_full.csv
eurozone_pgdp_simple,0.7583274000095261,0.8412868641096884,3.5806991694430716,2.7971635949035227,-13.659479040765683,-4.456794482332093,11.352145509162057,5.90406248887985,105,6,6,11.43,net_direct_investment_full.csv
soe_pgdp_weighted,-17.846252932448508,-18.51838703563048,23.258811307731637,19.76253357814877,-76.16098618102085,-54.19177432484324,52.76185681103992,15.5763376061669,105,6,6,11.43,net_direct_investment_full.csv
soe_pgdp_simple,-16.023005041597578,-16.56928355872085,18.872594591541468,17.170298922369994,-52.125492345072594,-47.403831814744194,37.80881803172783,14.973053058662533,105,6,6,11.43,net_direct_investment_full.csv
baltics_pgdp_weighted,-2.9318287188416403,-2.8989498276579404,2.9003997149522847,2.272827554234885,-11.21562664739363,-7.53959372308757,7.561229288737152,1.6058820518944004,105,6,6,11.43,net_direct_investment_full.csv
baltics_pgdp_simple,-3.1189573059751323,-3.099064340704461,3.246609270267071,2.4560186064880147,-13.6409697562017,-8.55823451161356,8.7880328831735,1.5609469701697662,105,6,6,11.43,net_direct_investment_full.csv
iceland_pgdp,0.6085042474436505,1.266185684334727,14.555762688739954,10.914907408134294,-60.5033135032538,-20.308883670354827,41.97395974603928,28.724681064987116,81,4,4,9.88,net_direct_investment_no_crises.csv
eurozone_pgdp_weighted,1.1094354421621229,1.0832028425404612,2.2632341284281905,1.8211477342691254,-4.58388419092243,-2.069550959142199,10.118901662800644,4.652663350894077,81,4,4,9.88,net_direct_investment_no_crises.csv
eurozone_pgdp_simple,0.5911898228925813,0.6468842778867022,3.658811370225199,2.6409583337913,-13.659479040765683,-4.823088098236614,11.352145509162057,4.9584442663667705,81,4,4,9.88,net_direct_investment_no_crises.csv
soe_pgdp_weighted,-20.9727922030829,-20.674883429271247,19.341260892044293,17.95923284008862,-76.16098618102085,-54.21167334850126,9.510611700476929,3.632803828633185,81,4,4,9.88,net_direct_investment_no_crises.csv
soe_pgdp_simple,-18.621085770499345,-18.935846410693998,16.202735011651054,15.43654945371538,-49.5276823880657,-47.849867916493174,17.791908017031385,4.250986987487803,81,4,4,9.88,net_direct_investment_no_crises.csv
baltics_pgdp_weighted,-3.045414716715421,-2.9531363659883456,2.5526193822874323,1.8733266083650677,-11.21562664739363,-6.877999336791195,3.774797920755226,0.01614366950898598,81,4,4,9.88,net_direct_investment_no_crises.csv
baltics_pgdp_simple,-3.2135317223849866,-3.1057354436280415,2.888031847781016,2.0066537335614916,-13.6409697562017,-7.643103112636769,5.408349729332177,-0.2040139573950802,81,4,4,9.88,net_direct_investment_no_crises.csv
iceland_pgdp,3.4342577625846933,3.5229493929284095,10.736859938443216,6.80864187777853,-52.46150100138313,-8.095391338308055,51.68974803430153,23.313678772285748,105,6,6,11.43,net_equity_portfolio_investment_full.csv
