COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Gross domestic product (GDP), Current prices, US dollar"
"Estonia, Republic of",2002.0,1.0,"US dollar, Nominal (Current Prices)",-96100184.90502603,-206639771.3901497,196111.3912702415,-174331820.4740292,63596122.59763546,7393000000.0
"Estonia, Republic of",2002.0,2.0,"US dollar, Nominal (Current Prices)",-9861223.27663242,-117618992.6808328,639424.9477411861,6435313.464881479,-114832507.8168231,7393000000.0
"Estonia, Republic of",2002.0,3.0,"US dollar, Nominal (Current Prices)",1935569.013299709,-159225688.6038141,6284.314978245809,-54623265.79091258,-106544276.1411795,7393000000.0
"Estonia, Republic of",2002.0,4.0,"US dollar, Nominal (Current Prices)",-48551986.34355496,-268033305.6993488,3145585.630896634,-227453972.3674363,4827067.380745852,7393000000.0
"Estonia, Republic of",2003.0,1.0,"US dollar, Nominal (Current Prices)",-301659118.5714299,-343807690.4000015,-5365690.476190499,310566164.7619061,-347349046.1142872,9894000000.0
"Estonia, Republic of",2003.0,2.0,"US dollar, Nominal (Current Prices)",-143519728.7096718,-242704143.4435388,568620.1612903001,-414751545.6451449,314998510.7499876,9894000000.0
"Estonia, Republic of",2003.0,3.0,"US dollar, Nominal (Current Prices)",-214041943.3333323,-236988184.4575746,4386566.363636341,-93355130.30302984,66022322.81515118,9894000000.0
"Estonia, Republic of",2003.0,4.0,"US dollar, Nominal (Current Prices)",-104155168.125,-468557956.221875,2259073.28125,-149812228.125,-216849633.253125,9894000000.0
"Estonia, Republic of",2004.0,1.0,"US dollar, Nominal (Current Prices)",-159589882.5000001,-285183495.8250002,-5498790.000000002,-174086692.5000001,53991869.17500002,12161000000.0
"Estonia, Republic of",2004.0,2.0,"US dollar, Nominal (Current Prices)",-141902814.9206305,-548547134.4793481,3252441.428571328,21682942.85714219,-431579703.8444311,12161000000.0
"Estonia, Republic of",2004.0,3.0,"US dollar, Nominal (Current Prices)",-65376351.51515263,-325338386.8848541,4887951.515151599,-438327052.1212196,173477065.2363666,12161000000.0
"Estonia, Republic of",2004.0,4.0,"US dollar, Nominal (Current Prices)",-331686698.1818213,-565002855.8484902,-2335821.81818184,304954515.151518,-535934851.000005,12161000000.0
"Estonia, Republic of",2005.0,1.0,"US dollar, Nominal (Current Prices)",-1120371963.870927,-500036798.9032075,-3671630.967741801,136660727.2128982,487346068.7225628,14129000000.0
"Estonia, Republic of",2005.0,2.0,"US dollar, Nominal (Current Prices)",-1065049859.538488,-143164009.6753883,5037483.076923202,-732830369.3569413,1649678736.143118,14129000000.0
"Estonia, Republic of",2005.0,3.0,"US dollar, Nominal (Current Prices)",-214462149.0909069,-309908784.7272697,5855621.81818176,-540555628.5393885,439253371.0848441,14129000000.0
"Estonia, Republic of",2005.0,4.0,"US dollar, Nominal (Current Prices)",187646632.9687499,-582424725.9749998,475355.6249999998,-432930135.4687498,-337616579.0999999,14129000000.0
"Estonia, Republic of",2006.0,1.0,"US dollar, Nominal (Current Prices)",-218818879.9999931,-405323501.5507564,-7814959.999999754,-1135912852.110733,957223190.5599698,17049000000.0
"Estonia, Republic of",2006.0,2.0,"US dollar, Nominal (Current Prices)",97891348.06451644,-632086195.9935503,-3523081.935483882,-809176425.9677444,82721963.84516154,17049000000.0
"Estonia, Republic of",2006.0,3.0,"US dollar, Nominal (Current Prices)",-34406016.92307629,-816424198.4584465,3568031.384615319,-1327826313.924591,542240101.0046054,17049000000.0
"Estonia, Republic of",2006.0,4.0,"US dollar, Nominal (Current Prices)",-156705147.936514,-1195378054.846078,2190779.206349291,-722913322.5111392,-317950363.6047742,17049000000.0
"Estonia, Republic of",2007.0,1.0,"US dollar, Nominal (Current Prices)",-229821728.8281249,-844759135.3906248,12319507.81249999,-749706269.1015621,122449354.7265624,22478000000.0
"Estonia, Republic of",2007.0,2.0,"US dollar, Nominal (Current Prices)",254771253.354835,-691347100.5419255,-16312478.38709654,-1125784799.735468,195978924.2258036,22478000000.0
"Estonia, Republic of",2007.0,3.0,"US dollar, Nominal (Current Prices)",-229436350.6846103,-1375965535.223047,42588706.15384522,-1361669468.247662,172551577.5553808,22478000000.0
"Estonia, Republic of",2007.0,4.0,"US dollar, Nominal (Current Prices)",-441219864.7468748,-424782511.8984373,32883397.34374998,827155.0609374996,-17273199.55624999,22478000000.0
"Estonia, Republic of",2008.0,1.0,"US dollar, Nominal (Current Prices)",-457279666.5709825,-1048317765.254873,-75928483.54838955,-353579628.8032372,-161529986.3322633,24434000000.0
"Estonia, Republic of",2008.0,2.0,"US dollar, Nominal (Current Prices)",-4930342.649999997,-687114172.7249995,624884.9999999997,-443090331.3749997,-239718383.6999999,24434000000.0
"Estonia, Republic of",2008.0,3.0,"US dollar, Nominal (Current Prices)",-107959795.2954526,-284455315.5454495,55685840.90908992,-408509823.8863564,176328462.7272696,24434000000.0
"Estonia, Republic of",2008.0,4.0,"US dollar, Nominal (Current Prices)",-117255514.6125,-554319883.575,-52586267.34375001,118810697.45625,-503288799.0750001,24434000000.0
"Estonia, Republic of",2009.0,1.0,"US dollar, Nominal (Current Prices)",-13403826.94603157,285572650.1238056,-13336078.20952363,206835589.6984099,105476965.580951,19694000000.0
"Estonia, Republic of",2009.0,2.0,"US dollar, Nominal (Current Prices)",58892478.63548303,19546762.9080641,-29710697.92741893,-493080351.366122,483445333.5661221,19694000000.0
"Estonia, Republic of",2009.0,3.0,"US dollar, Nominal (Current Prices)",190549462.4590848,872956025.0205572,-23717309.97272652,505872972.2454384,201741595.5272663,19694000000.0
"Estonia, Republic of",2009.0,4.0,"US dollar, Nominal (Current Prices)",-739351369.8323195,104537869.7169248,48370121.02153924,-514683330.9369313,1310202449.464636,19694000000.0
"Estonia, Republic of",2010.0,1.0,"US dollar, Nominal (Current Prices)",-276173629.4603104,217214732.4952325,-5075272.126983996,538298297.193637,-39834663.11111009,19569000000.0
"Estonia, Republic of",2010.0,2.0,"US dollar, Nominal (Current Prices)",-239075242.0650807,-143153889.1571437,-13830851.63809531,-139257767.2238103,249009971.7698426,19569000000.0
"Estonia, Republic of",2010.0,3.0,"US dollar, Nominal (Current Prices)",-245864251.1424255,1080699382.760612,-18623243.25757585,1045128665.378793,300058211.7818197,19569000000.0
"Estonia, Republic of",2010.0,4.0,"US dollar, Nominal (Current Prices)",-589719954.3333344,989715439.1242445,-3507052.357575765,1637995833.172731,-55053387.35757587,19569000000.0
"Estonia, Republic of",2011.0,1.0,"US dollar, Nominal (Current Prices)",-141083447.9937499,117248974.5578123,38031463.92656247,525808483.9968747,-305507525.3718748,23300000000.0
"Estonia, Republic of",2011.0,2.0,"US dollar, Nominal (Current Prices)",-323896858.2142846,265329916.8142849,21403167.70952374,530868497.6047601,36955109.71428559,23300000000.0
"Estonia, Republic of",2011.0,3.0,"US dollar, Nominal (Current Prices)",-1818100768.096931,410107689.6969612,-6430624.193939257,2865913907.296909,-631274825.3090775,23300000000.0
"Estonia, Republic of",2011.0,4.0,"US dollar, Nominal (Current Prices)",-207316531.5343751,609814854.260938,13462672.709375,1541992368.46875,-738323655.3828127,23300000000.0
