COUNTRY,GROUP,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP"
Portugal,Eurozone,2013,1,"US dollar, Nominal (Current Prices), % of GDP",-3.2858279873478593,-5.569594958554092,-2.6542965100736278,1.1115886173080232,8.589760258689525,1.745450470396725,7.480502016490134,-0.5825936149919931,-5.5043444735112335,1.873621065726726,1.339965314252187,1.2910274507347328,3.0877461595810853
Portugal,Eurozone,2013,2,"US dollar, Nominal (Current Prices), % of GDP",-7.4012557505922425,-6.859588013110936,-2.8927362081515433,-3.1624175930051486,-3.6787306690900428,1.0764205652877832,-0.5163130762613541,-1.9961032322956047,1.7241168796679034,3.835468565958329,-3.0310343540040847,1.8393653336627243,-1.9523088198834484
Portugal,Eurozone,2013,3,"US dollar, Nominal (Current Prices), % of GDP",-25.962388576016515,-32.63349103277292,-23.015887632399714,0.2733866856066454,-17.143915488285298,0.972041548784415,-17.417302173539024,-5.306505665671142,15.442842777294965,10.185406515764445,-2.673114258363074,4.878900850093302,-1.701072710284497
Portugal,Eurozone,2013,4,"US dollar, Nominal (Current Prices), % of GDP",0.6220084419955797,1.4985840454206572,4.0802793158667905,1.352087848738977,1.9380726359950768,1.9716947128343356,0.5859847869031811,-5.004886459826805,-2.6177189248326944,9.851268836823554,-2.648939425889245,4.846382376996749,-0.6796462898963742
Portugal,Eurozone,2014,1,"US dollar, Nominal (Current Prices), % of GDP",1.9425205833021926,-2.74476253899834,4.011209781956913,0.35708098949326056,18.058775908368023,2.3353096715883512,17.70169491870095,-1.066481888605967,-2.7542846987459697,-0.7284452186079657,12.969181538033702,-1.7949271080829763,15.304491209622054
Portugal,Eurozone,2014,2,"US dollar, Nominal (Current Prices), % of GDP",1.5275313493642946,3.7771250988537313,1.408379138082368,1.4012300053011673,-1.6705140029026062,2.027970636748386,-3.0717440075085385,-3.9582364598632127,7.175346166213316,9.33438423554563,3.4744784833447757,5.378530820638052,5.504832163310709
Portugal,Eurozone,2014,3,"US dollar, Nominal (Current Prices), % of GDP",5.411949882244566,-16.477763112567242,9.26643781383344,2.868402554988746,22.345892678306058,1.3362839212993944,19.477490123317313,-9.072907038385663,-25.00694083202253,8.86094476183855,-3.9996360131747037,-0.21426621505357654,-2.661048153716466
Portugal,Eurozone,2014,4,"US dollar, Nominal (Current Prices), % of GDP",-5.350301028078805,5.408952319043356,-4.805061257158749,-1.28815611450521,-18.221000823853515,0.994899663506244,-16.932844708826877,-1.2838115744466363,15.349259873641033,4.281544184793471,-3.864468343341821,2.997732610868262,-2.871740950212481
Portugal,Eurozone,2015,1,"US dollar, Nominal (Current Prices), % of GDP",-4.161533442848603,-5.433301684425221,-3.8356711186130745,0.37338391411591537,9.128670968908716,2.9621790524417384,8.753024120486891,-1.3803890161208485,-9.628779119758464,-0.020366395309933238,-3.4645501363917233,-1.4007554114106873,-0.5023710845528211
Portugal,Eurozone,2015,2,"US dollar, Nominal (Current Prices), % of GDP",-1.5769041080282729,2.809554501931588,-0.46640825725036295,-0.21543619509793577,-9.277082336392727,3.1049463988063843,-9.063867132860107,-2.669632024676101,12.277642126203789,-1.7479204690066765,-0.10438660995986113,-4.417552494486559,3.0005597878016066
