COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD
"Estonia, Republic of",2014,3,% of GDP (annualized),27063000000,9.832285453873697e-06,2.5912640189725855e-07,-1.1115437233660264e-06,-2.9573442260987206e-06,3.3367471274098065e-07,-2.62366951335774e-06,1.378262101728973e-05,-7.71523097909597e-06,1.8730140648251872e-08,-3.3643721256462445e-07,-3.1770707191637257e-07,-3.950315971218702e-06,-2.3059624414413686e-06,Post-Euro
"Estonia, Republic of",2014,4,% of GDP (annualized),27063000000,3.078815316345196e-07,4.543704818964085e-06,-4.355534469051382e-05,4.574055173345529e-06,7.531247401895578e-08,4.649367647364484e-06,1.5101841276604588e-06,2.3722413327236464e-06,-4.595409409294979e-07,-9.111017521616232e-07,-1.3706426930911209e-06,-1.2023025960259398e-06,6.020010340455605e-06,Post-Euro
"Estonia, Republic of",2015,1,% of GDP (annualized),23314000000,-2.024081660314541e-06,2.5760143506661594e-06,4.431469232466251e-05,-1.9620409171681772e-06,2.8331037708796513e-06,8.710435323962629e-07,1.6097553769041896e-06,-1.3339049596196537e-06,7.98743170872222e-08,-5.069526685376237e-07,-4.2705903013518925e-07,-3.6338370372187304e-06,1.2981218838466645e-06,Post-Euro
"Estonia, Republic of",2015,2,% of GDP (annualized),23314000000,-9.280388670022146e-06,1.4402827036004485e-05,-9.413188062440376e-06,-3.9154297514713694e-06,-8.498933556190527e-07,-4.7653231070904225e-06,-1.661735124657151e-05,9.411253814542809e-06,9.936724493381756e-07,-2.2791887726327356e-07,7.657725352895841e-07,7.336962576549368e-06,-5.5310956423800064e-06,Post-Euro
"Estonia, Republic of",2015,3,% of GDP (annualized),23314000000,4.825497467616024e-06,-1.655365768036373e-05,-6.609477812473191e-06,7.6050897477910276e-06,1.4682133825169428e-07,7.751911086042721e-06,7.63978291670241e-06,-9.46700098224243e-06,-5.018016899716909e-07,5.277405078493609e-08,-4.490467118469589e-07,-2.814285449086386e-06,8.20095779788968e-06,Post-Euro
"Estonia, Republic of",2015,4,% of GDP (annualized),23314000000,-3.3883770817931424e-06,7.854248040860454e-06,-1.4650075719601056e-05,3.7418478404657235e-06,1.9218210786520375e-06,5.6636877107583064e-06,-4.90747451190121e-06,1.2921883705136273e-05,-6.272085865079598e-07,-1.90547235137691e-08,-6.462445183811826e-07,1.5190974301080668e-06,6.309932229139489e-06,Post-Euro
"Estonia, Republic of",2016,1,% of GDP (annualized),24554000000,-1.2538366164371848e-06,-1.619447855402241e-05,2.911131333440057e-06,8.067510407449188e-06,1.5063524855551414e-06,9.573862893004328e-06,2.5622120648365724e-06,-1.5070526219759856e-06,5.708804662271449e-09,-5.480272953621399e-07,-5.423184906998684e-07,-3.816048681273757e-06,1.0116181383704197e-05,Post-Euro
"Estonia, Republic of",2016,2,% of GDP (annualized),24554000000,5.806865545454053e-06,-4.753789393424914e-06,1.911541550065501e-06,1.2980899691530924e-05,1.6345169405204448e-06,1.4615416632051368e-05,4.73795048056096e-06,3.030935101484366e-06,5.227209164103049e-07,3.528711109830185e-07,8.755736314434235e-07,1.068915064893091e-06,1.3739843000607947e-05,Post-Euro
"Estonia, Republic of",2016,3,% of GDP (annualized),24554000000,5.297206203519325e-06,-8.26010615625186e-06,-1.0651312543040682e-05,8.719290981411501e-06,-6.579896801360582e-07,8.061301301275443e-06,5.636005766510977e-06,-1.635515098447225e-06,-2.7948007977469875e-07,5.752043479924333e-07,2.9572426821773466e-07,-3.3879956299165333e-07,7.765577033057706e-06,Post-Euro
"Estonia, Republic of",2016,4,% of GDP (annualized),24554000000,-3.891796256465342e-06,-1.331100553244889e-06,2.7734088444092612e-06,8.919978458830537e-06,3.546660308656431e-06,1.2466638767486971e-05,2.1450772156522357e-06,-1.1589544199773968e-06,-6.250096337409383e-07,3.6345086213040643e-07,-2.615411949173251e-07,-6.036873472117578e-06,1.2728179962404295e-05,Post-Euro
