COUNTRY,YEAR,yearly_sd_net_capital_flows_pgdp,mean_overall_restrictions_index
Paraguay,2000,3.1712958354828906,0.025
Paraguay,2001,6.702481919075396,0.025
Paraguay,2002,13.778664351198426,0.025
Paraguay,2003,3.992994362782855,0
Paraguay,2004,4.675869497616842,0
Paraguay,2005,8.406195471028186,0
Paraguay,2006,2.9693966862899743,0
Paraguay,2007,1.3898872400221813,0.15
Paraguay,2008,5.546710603909914,0.15
Paraguay,2009,5.566339344954767,0.15
Paraguay,2010,2.009870045073142,0.15
Paraguay,2011,4.159681919490834,0.2
Paraguay,2012,3.258218306344275,0.2
Paraguay,2013,4.991807216255261,0.15
Paraguay,2014,7.257511406184803,0.2
Paraguay,2015,2.3665009530065775,0.2
Paraguay,2016,3.3193892296316108,0.225
Paraguay,2017,2.8476462236971827,0.225
Paraguay,2018,3.6328452543081586,0.225
Paraguay,2019,5.916304749206334,0.225
Peru,1999,2.9266904335076287,0
Peru,2000,1.6848898782840436,0
Peru,2001,1.2960390495929548,0
Peru,2002,2.9983629596323627,0
Peru,2003,4.5332539714786595,0
Peru,2004,3.3494301208104513,0
Peru,2005,3.9536636293820915,0
Peru,2006,4.296229027276497,0
Peru,2007,3.794055456576821,0
Peru,2008,12.742959009178724,0.025
Peru,2009,2.507163946599905,0.025
Peru,2010,7.827585056427518,0.05
Peru,2011,2.290002110553102,0.025
Peru,2012,3.9454564657296802,0.025
Peru,2013,4.9128303983947115,0.025
Peru,2014,2.488685593752396,0
Peru,2015,3.487595439625219,0
Peru,2016,4.550735130156238,0
Peru,2017,2.3569396410331938,0
Peru,2018,2.772269668198914,0
Peru,2019,4.769855478380339,0
Philippines,1999,7.548813630200765,0.75
Philippines,2000,5.134516255728374,0.75
Philippines,2001,4.333960845844961,0.75
Philippines,2002,8.600564949088273,0.75
Philippines,2003,5.698868514487697,0.8
Philippines,2004,4.569800394254695,0.925
Philippines,2005,6.099103773106253,0.95
Philippines,2006,5.000924657136418,0.875
Philippines,2007,4.029643990193211,0.875
Philippines,2008,4.948967412199708,0.875
Philippines,2009,2.116616223149574,0.875
Philippines,2010,4.138278635872958,0.875
Philippines,2011,3.9689723635696614,0.875
Philippines,2012,3.7131770133872135,0.875
Philippines,2013,2.974078771159838,0.875
Philippines,2014,2.544904708934104,0.875
Philippines,2015,1.313649811619125,0.875
Philippines,2016,1.680242251715835,0.875
Philippines,2017,2.72772485783919,0.975
Philippines,2018,2.182597201304562,0.975
Philippines,2019,2.2238325115704662,0.8999999999999999
"Poland, Republic of",2000,2.3002724858517323,1
"Poland, Republic of",2001,3.5042878791402523,1
"Poland, Republic of",2002,2.1556342155418537,0.75
"Poland, Republic of",2003,1.0403973988671027,0.75
"Poland, Republic of",2004,6.831501858421554,0.75
"Poland, Republic of",2005,2.2933709922870404,0.75
